---------- SpectralCalc.com -------------
 
 query:
    database: unknown
    molecules: H2O (1)
    lower waveband limit: 0.815 microns (12269.9386503067 cm-1)
    upper waveband limit: 0.841 microns (11890.6064209275 cm-1)
    intensity threshold: none
 
 number of lines found: 6166
 
molecule, isotope, frequency, intensity, einstein_a, air_halfwidth, self_halfwidth, lower_energy, t_exponent, p_shift, upper_global, lower_global, upper_local, lower_local, err1, err2, err3, err4, err5, err6, ref1, ref2, ref3, ref4, ref5, ref6, mixing_flag, upper_weight, lower_weight
1,4,11892.7076,6.726e-29,0.06545,0.0319,0.194,1171.5316,0.55,0,          0 1 3,          0 0 0,  7  7  0,  7  7  1,4,4,5,5,0,0,41,29,27,5,0,0,,90,90
1,3,11892.731122,1.367e-29,0.0511,0.0507,0.315,1470.2734,0.56,-0.0034,         -2-2-2,          0 0 0,  8 -2 -2,  9  5  5,0,2,4,1,3,3,46,36,95,71,22,42,,102,114
1,1,11892.8738,1.077e-29,3.643e-07,0.0755,0.352,931.2371,0.62,-0.019532,          2 3 0,          0 0 0,  8  3  6,  7  4  3,3,3,4,5,4,3,43,32,28,71,20,8,,51,45
1,3,11893.017406,1.085e-29,0.001997,0.047,0.315,1076.8499,0.56,0.002,         -2-2-2,          0 0 0,  8 -2 -1,  9  1  8,0,2,4,1,3,3,46,36,95,71,22,42,,306,342
1,2,11893.073645,2.614e-29,0.0001056,0.0903,0.3,505.7287,0.74,-0.019163,          3 1 0,          0 0 0,  4  2  3,  5  3  2,5,3,4,7,4,3,48,36,25,70,20,7,,27,33
1,1,11893.120839,3.939e-27,0.03521,0.051,0.298,1875.4613,0.51,-0.028702,          2 1 1,          0 0 0,  9  6  3, 10  6  4,4,3,4,2,0,3,44,32,29,71,22,7,,19,21
1,1,11893.193894,2.553e-27,0.0001408,0.0783,0.333,1006.1157,0.57,-0.022374,          3 1 0,          0 0 0,  7  2  5,  8  3  6,3,3,4,6,8,3,44,32,25,71,22,7,,45,51
1,1,11893.320814,4.049e-29,0.003108,0.0698,0.333,2495.1658,0.57,-0.015521,          1 4 1,          0 1 0,  7  4  4,  8  2  7,3,3,4,2,0,3,44,32,28,71,22,8,,45,51
1,1,11893.369788,3.191e-27,2.244e-05,0.0762,0.371,552.9114,0.54,-0.019982,          0 3 2,          0 0 0,  6  1  6,  6  2  5,4,3,4,6,3,3,44,32,28,71,20,7,,39,39
1,2,11893.390229,2.82e-29,6.758e-05,0.0913,0.3,398.3605,0.68,-0.00715,          0 3 2,          0 0 0,  4  2  3,  5  1  4,3,3,4,8,6,3,48,36,25,70,20,7,,27,33
1,1,11893.482451,1.187e-26,0.03528,0.0506,0.298,1874.9727,0.51,-0.032716,          2 1 1,          0 0 0,  9  6  4, 10  6  5,3,3,4,2,0,3,44,32,29,71,22,7,,57,63
1,1,11893.488671,4.88e-25,0.08598,0.0455,0.328,1293.6337,0.51,-0.026913,          2 1 1,          0 0 0,  9  2  8, 10  2  9,4,5,4,3,2,3,44,27,25,66,22,7,,57,63
1,1,11893.570689,1.117e-29,0.0002108,0.0911,0.412,1875.4694,0.69,-0.01032,          1 4 1,          0 1 0,  4  3  2,  4  1  3,3,3,4,2,0,3,44,32,25,71,22,7,,9,9
1,4,11893.6265,7.699e-28,0.02274,0.0846,0.407,295.6775,0.55,0,          0 1 3,          0 0 0,  3  3  0,  4  3  1,5,4,5,5,0,0,41,29,27,5,0,0,,42,54
1,4,11893.7658,7.233e-28,0.02134,0.0846,0.394,295.4873,0.55,0,          0 1 3,          0 0 0,  3  3  1,  4  3  2,5,4,5,5,0,0,41,29,27,5,0,0,,42,54
1,1,11893.856776,1.09e-24,0.001465,0.0941,0.527,136.7617,0.69,-0.009485,          1 3 1,          0 0 0,  4  0  4,  3  0  3,4,5,4,4,2,3,44,27,25,66,22,7,,27,21
1,4,11893.8992,3.11e-27,0.04992,0.0918,0.466,221.9461,0.55,0,          0 1 3,          0 0 0,  4  0  4,  5  0  5,5,4,5,5,0,0,41,29,27,5,0,0,,54,66
1,1,11893.901967,3.979e-28,2.105e-05,0.0516,0.391,742.073,0.62,-0.01217,          0 5 1,          0 0 0,  6  5  2,  5  5  1,2,3,4,2,0,3,44,32,29,71,22,7,,13,11
1,1,11893.9438,1.057e-29,7.891e-06,0.045,0.333,1590.6527,0.56,-0.015305,          1 5 0,          0 0 0,  9  6  3,  8  7  2,3,3,4,2,0,3,43,32,28,71,22,8,,57,51
1,1,11894.066782,1.56e-25,0.08221,0.046,0.505,1293.0173,0.51,-0.037532,          2 1 1,          0 0 0,  9  1  8, 10  1  9,4,5,4,3,2,3,44,27,25,66,22,7,,19,21
1,2,11894.13473,1.007e-27,0.07349,0.085,0.447,980.2222,0.57,-0.011998,          2 1 1,          0 0 0,  7  2  5,  8  2  6,5,4,4,4,2,3,48,36,25,66,22,7,,15,17
1,1,11894.178623,1.47e-25,0.01085,0.034,0.3,1114.5493,0.29,-0.024407,          3 1 0,          0 0 0,  9  0  9, 10  1 10,3,5,4,6,3,3,44,27,25,70,20,7,,57,63
1,2,11894.316809,1.018e-28,0.0001391,0.084,0.5,324.0467,0.67,-0.010562,          1 3 1,          0 0 0,  5  2  4,  5  0  5,5,4,4,3,2,3,48,36,25,70,22,7,,33,33
